"organisation_name","title","awarded_value","description"
"NHS SOUTH, CENTRAL AND WEST COMMISSIONING SUPPORT UNIT","The Provision of Primary Medical Services at Charlotte Keel Medical Practice",23304779,"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board (BNSSG ICB) sought to commission Primary Medical Services (General Practice surgery) at Charlotte Keel Medical Centre (L81015) in Bristol. 

The practice is situated in the Lawrence Hill ward of Bristol and is ethnically diverse; more than half of the population are BAME (59.6%). To support the diverse ethnicities the practice has interpreters, counsellors, and welfare benefits advisors accessible on site. The practice operates from a modern purpose-built health centre and is co-located with a community healthcare team as well as midwives, dentists, and the Citizens Advice Bureau.

The purposes of commissioning Primary Medical Services at Charlotte Keel Medical Centre are:

• Developing sustainable and resilient GP services, serving natural communities within strong PCNs alongside wider community services
• Addressing health inequalities to ensure health services are equitable, addressing the specific needs of our most deprived communities
• Delivering improved health and social care services to the people who need them most; the frail and elderly, children, pregnant women, and vulnerable people including those with mental health needs, learning difficulties, language barriers or drug and alcohol addiction
• Supporting people to stay well and promoting patient self-care
• Looking after people at home or in the community, helping to keep them out of hospital
• Ensuring those who go to hospital are able to go home faster with community support
• Continuing to modernise care and treatment, designing it around patients

The contract has been awarded to One Medicare T/A One Primary Care LLP. The total value of the contract including additional achievable income, is £18,643,823 for the initial eight year contract term, with a total estimated contract value of £23,304,779 including the two year extension, plus a non-recurrent mobilisation cost of £192,000. The initial eight year period will commence from 1st July 2023.

This procurement has been carried out by NHS South, Central and West Commissioning Support Unit (SCW) on behalf of the Commissioner(s)."
"NHS Midlands & Lancashire CSU","Award Notice - Community & Inpatient Mental health Services- Children & Young Adults 0 up to 25 years of age for Birmingham South Central CCG, Birmingham Cross City CCG & Sandwell & West Birmingham CCG (West Birmingham patients only)",23722000,"Provision of integrated Mental Health Services for Children & Young Adults (0up to 25 years of age) across the city of Birmingham.
The contract will run for an initial period of five (5) years with the option to extend for upto a further two (2)years. The expected commencement date is 1st October 2015.
The required service must be accessible locally, patient friendly and age appropriate. The service provided mustbe patient centred, of high quality, safe and effectively delivered.
The chosen provider organisation must work in partnership with other organisations particularly with universalservices such as early help services, educational establishments and third sector organisations.
The service will provide robust integrated MH Services for 0-25 year olds which includes:
— Commissioning of third sector provision to provide some elements of targeted services;
— In–reach into Early Help/Primary care services (Universal Interventions and Primary Mental Health);
— Targeted care provision to include assessment, and brief interventions;
— Specialist care provision for complex case management;
— 24/7 Home Treatment service;
— In and Out of hours Crisis Resolution service;
— In and Out of hours Emergency Psychiatric assessment service;
— Place of Safety Sec 136 suite for 0 – 18 year olds;
OJ/S S92
14/05/2014
161925-2014-EN
Member states - Service contract - Contract notice - Restricted procedure
3/6
14/05/2014S92
http://ted.europa.eu/TED
Member states - Service contract - Contract notice - Restricted procedure
Supplement to the Official Journal of the European Union
3/6
— Bespoke Early Intervention team for Psychosis;
— Co Morbid presentations, where Mental Health is the primary condition and for those with:
— Learning Disability
— Substance Misuse
— Youth Offenders.
NB: the provision should outline clear streams of care appropriate to age, development and presentation /diagnosis;
— To provide inpatient beds capacity for 18 to 25 year olds as necessary."
"Nottingham City Council","CPU 1581 - Integrated Substance Misuse Service",24776908,"Nottingham City Council is looking to redesign the substance misuse treatment system in Nottingham and to procure services to deliver that new model.
The vision is for a treatment system that delivers the best possible quality and standards of care, maximising numbers achieving a substance-free lifestyle and recovery from substance misuse. 
The Authority is seeking tenders from sufficiently experienced and qualified providers for the provision of 3 Lots as follows:

•	Integrated adult drug and alcohol treatment service
•	Specialist needle exchange and sexual health service
•	Family support service

Providers may bid for single or multiple Lots.
The Authority’s detailed requirements for the above Lots are defined in the corresponding service specifications. The duration will be for five (5) years, with a possible extension of one plus one (1+1) years at the Authority’s total discretion.

The objectives for the treatment system are to:

•	Maximise the number of clients who achieve recovery
•	Reduce the harm to individuals and families (including vulnerable groups) as a direct or indirect result of substance misuse; including supporting those for who recovery is not yet an option
•	Ensure service users are at the heart of the treatment system and their own recovery journey
•	Respond to current need and be flexible to future changing needs

Lot 1: Integrated adult drug and alcohol treatment service
The Provider will deliver this Lot which is one of the principle components in a fully integrated drug and alcohol treatment system framed around reducing harm and achieving sustained recovery from problematic drug and alcohol use. 

Lot 2: Specialist needle exchange and sexual health service
The Provider will deliver a specialist sexual health and needle exchange service in a fully integrated treatment system framed around achieving improvements in

•	Sexual health outcomes as defined in A Framework for Sexual Health Improvement in England 2013
•	Sustained recovery from drug dependency as defined by the 2010 National Drug Strategy

Lot 3: Family support service
The Provider will support and work with families, children of drug and alcohol users, carers and anyone affected by a family member’s substance misuse to address the negative impact of substance misuse and improve family functioning. This will include developing and maintaining a personalised, holistic package of support for individuals and whole families.
"
"Torbay Council","Torbay 0-19 Integrated Service",28508470,"Torbay Council has reviewed how some of our services for children, young people & families are delivered. We want to help build the capability and capacity of children, young people, parents and the community to support themselves and others. 
For outcomes to change and improve a transformational way of working needs to be implemented. Current services for the 0 to 19 population are delivered as separate services causing duplication, missed opportunities, unnecessary and confusion in the population on where to go to for children's early years support. To achieve improved outcomes the culture of commissioning and service delivery needs to radically shift to one of integrated outcomes focused delivery and this contract indicates a start of that journey. We want a future system that is based on the strengths within individuals, families and communities and works to build upon these rather than focussing solely on deficits. 
Torbay Council is seeking to commission provider to bring the following services into a single integrated provision for 0-19 year olds.
Public Health Nursing
Community Hubs
Child Development & School Readiness
Parenting Aspirations, Self Esteem, Skills & Family Support
Young People's Substance Misuse Service
Return Home Interviews
Advocacy
Independent Visitors Service
National Child Measurement Programme
Healthy Start Scheme
Speech, Communication & Language
Sexual Health
Antenatal & Postnatal Education"
"Derby City Council","Provision of 0-19s Integrated Public Health System for Children and Young People in Derby City",33632905,"Tenders are invited for the provision of a 0-19 years Integrated Public Health System for Children and Young People of Derby City.
There are three key interventions: 0-19 Public Health Nursing; intensive structured support for young or vulnerable pregnant women; and addressing risky behaviour in young people (including treatment for drugs and alcohol problems).
Key outputs include delivery of the Healthy Child Programme through the provision of universal health assessments (including screening for overweight/obesity, auditory and visual problems), health promotion, early identification of health need and delivery of early interventions for some health issues. The system will also deliver targeted and intensive support to first time pregnant teenage women aged 19 years and under. The system will deliver a programme for the prevention of a range of risky behaviours and provide specialist support for the treatment of substance misuse (drugs and alcohol misuse), and work with lifestyle services to support smoking cessation.
This new system will be delivered by Health Visitors, School Nurses, Community Nursery Nurses, Screening staff, Family Nurses and Substance Misuse Workers to provide a seamless and integrated public health offer to Children and Young People in Derby City.
The system described within the specification will form an important foundation and serve as a gateway to a range of additional targeted and specialist services across the children’s health and social care system. The aim is for all levels of service to work together as one simple integrated system across Derby City, with clear links into Southern Derbyshire and Derbyshire County.
The initial contract period is three years; the contract is estimated to commence 1st April 2016 and expire 31st March 2019. There will be an option to extend the contract for two further years in annual increments, subject to satisfactory performance and business needs. Maximum potential contract period is five years."
"Bournemouth Christchurch and Poole Council","BCP Treatment System - Adults and Young People",38184000,"BCP Council would like to invite suitably experienced, qualified and established organisations to bid for the following tender opportunity.
BCP Treatment System, Adults and Young People
The Contract will be for a period of 65 months with the option to extend for a further period of up to 24 months subject to satisfactory performance and funding.  
This tender opportunity is split into four lots.
Successful organisations will be required to work as part of a clearly defined treatment system with other commissioned substance misuse providers and in partnership with other health and social care departments.  Providers must have the ability to operate flexible and adaptable provision dependent on local needs and national requirements.
Anticipated Start Date November 2021.
"
"WAKEFIELD COUNCIL","Family Focussed Substance Misuse Service (Drugs and Alcohol)",39877900,"Wakefield Council is reshaping its current young people substance misuse service and its parent and carer support services by procuring a family focussed substance misuse service (drugs and alcohol)
The contract is anticipated to commence on 1 July 2020 for a period of 5 years. The Council may extend the contract for period of up to 5 years, such period/multiple of periods at the discretion of the Council, meaning the final possible expiry date is 30 June 2030."
"EU SUPPLY LIMITED","All Substance Misuse",41000000,"Barnsley Metropolitan Borough Council (the Authority) have awarded the provision for the delivery of the Community Drug and Alcohol Treatment and Recovery Service (known as Barnsley Recovery Steps) and the Multiple and Complex Needs Supported Accommodation Provision (25 years+).

The contract will include the Adult Substance Misuse Service (currently known as Barnsley Recovery Steps), the Young Peoples' Substance Misuse Service (currently delivered in house by the Authority) and the Multiple and Complex Needs Supported Accommodation (25 years+).

The Authority have awarded the contract to Humankind Charity for the following period:

Contract Start Date: 1st April 2024

Contract End Date: 31st March 2029

Option to Extend until 31st March 2031

Please note, the total contract value is based on the Council receiving the same funding for each years as per 24/25.  1st April 2024 - 31st march 2025 has an agreed amount for £5,596,968.70 The estimated value may change as it is subject to confirmation from each funding body."
"Espo","3177_16 Substance Misuse Treatment Services",46500000,"In this present instance, ESPO is working on behalf of Leicestershire County Council and Leicester City Council (the Councils) to undertake a procurement process to identify and appoint a service provider to provide an integrated substance misuse treatment services across the Leicestershire and Leicester City area.

Leicestershire County Council and Leicester City Council are inviting tenders from suitably qualified and experienced organisations that can demonstrate the knowledge, vision, capacity and capability to deliver a comprehensive range of substance misuse services for adults and young people across the different populations and communities in Leicester and Leicestershire. 

The Councils wish to adopt a partnership approach to reducing the harms from substance misuse across the administrative areas of Leicestershire and Leicester City. The Office of the Police and Crime Commissioner for Leicestershire (OPCC) and NHS England will also contribute towards this partnership approach."
"Hampshire County Council","Hampshire Substance Misuse Treatment Service - AWARD",58001687,"Hampshire County Council intends to seek tenders for the provision of substance misuse services in Hampshire for adults and young people.  This will provide an opportunity for the transformation of substance misuse services, which will improve outcomes and maximise use of resources for all people living in Hampshire within the boundaries of Hampshire County Council. 
      
      The Hampshire County Council Service will consist of: 
      • an adult substance misuse treatment service (to include alcohol, opiate and non-opiates and other drugs such as psychoactive substances and image and performance enhancing drugs) which will provide both medical and psychosocial interventions
      • a young people's substance misuse service (for people up to the age of 25 years) 
      • a pharmacy drug-treatment service 
      
      The contract will be awarded for a period of 5 years with an option to extend for a further 2 years."
"Northamptonshire County Council","Northamptonshire County Council - Services for the Treatment of Drug and Alcohol Addictions",58400000,"Northamptonshire County Council is running a simultaneous procurement process for Services for the Treatment of Drug and Alcohol Addictions. The detailed requirements are defined in the Specification, but please see below summary for each Lot.

LOT 1: Structured Treatment Service for adults and young people in Northamptonshire will include prescribing, OST, psychosocial interventions and responsibility for the management of the residential rehab, inpatient and ambulatory detox, shared care with GP surgeries, needle exchange, supervised consumption with pharmacies, the distribution of naloxone and foil. It will also introduce an integral mental health service capable of meeting the needs of Northamptonshire clients; provide structured treatment for young people allowing them access to the specialist resources as needed and house the re-designed single point of contact (SPOC) representing all services.
LOT 2: Recovery Service for all treatment and recovery clients in Northamptonshire will be peer based and provide an interface with structured treatment. It will host mutual treatment options and include the management of the PHaSE housing project. 
LOT 3: Specialised Training Service, providing training on drug and alcohol awareness for substance misuse services for older people aged 45 and over.
LOT 4: Young People's Early Intervention Service - Services for young people with or living with problematic substance misuse will be divided into two. Those who require structured treatment (those with moderate to severe addictions) will be managed in the community by the Early Intervention service (Lot 4) with structured treatment drawn down from the all-through service (see fig.1). This configuration takes account of best practice, ensures that those who need treatment can access the best available with the interventions taking place within the young person's community environment. The Early Intervention service will comprise the larger part and will have workers embedded in clusters (schools or Early Intervention) where they will devise an appropriate prevention agenda for young people. It will support local services in the earlier identification of young people, at risk of, or substance abusing. It will provide assessment of the severity of the problem and steer the young person towards less harmful behaviours. Where the young person requires a more intensive treatment the community based early intervention service will draw down the practitioner and resources from the treatment service (Lot 1).

The service will be required from 1st April 2018 for an initial period of 4 years (up to 31st March 2022) with Lots 1, 2 and 4 having an option to extend for a further period of up to 4 years. The Authority believes that TUPE does apply to all Lots at its commencement. The deadline for completed ITTs to be received on the LGSS eTendering Portal (www.lgssprocurementportal.co.uk) is 12:00noon on Friday 3rd November 2017."
"Department For Education","Adult Education Budget Procurement Contracts for Services 2021/22",73930858,"The Adult Education Budget (AEB) is the major fund for adult learners, delivering skills provision for eligible adults aged 19+ from pre-entry to Level 3. AEB provision aims to engage adults in learning which provides the skills and learning they need for work, progression in work, an Apprenticeship or further learning.
The ESFA would like to invite potential contractors to apply for ESFA funded AEB contract for services for the delivery of adult education and training to learners in England that are resident outside of the devolved areas. The contracts will start on 1 August 2021 and run for the 2021/22 academic year. Contracts awarded will be between the values of £150,000 and £3,000,000.
The procurement will fund the following provision:
Statutory entitlements
English and maths, up to and including Level 2, for individuals aged 19 and over, who have not previously attained a GCSE grade A* - C or grade 4, or higher, and/or
First full qualification at Level 2 for individuals aged 19 to 23, and/or
First full qualification at Level 3 for individuals aged 19 to 23.
Information technology ('digital') skills, up to and including Level 1, for individuals aged 19+, who have digital skills assessed at below Level 1.
Local Flexibility which supports delivery of flexible tailored provision for adults, including qualifications and components of these and/or non-regulated learning, up to Level 2, including Sector-based Work Academy Programmes (SWAP) and English for Speakers of Other Languages (ESOL)
Expansion of DWP's SWAP
National Skills Fund Level 3 Adult Offer: From April 2021, any adult aged 24 and over who wants to achieve their first full Level 3 qualification, which is equivalent to a technical certificate or diploma, or 2 full A levels, will be able to access hundreds of fully funded courses.
Supporting funding to provide extra support to address barriers that may prevent learners from engaging or continuing learning. This includes:
Learning support - available to providers to meet the cost of making reasonable adjustments, as part of the Equality Act 2010, for learners who have an identified learning difficulty or disability, to achieve their learning goal, and/or
Learner support - available to providers to support learners with a specific financial hardship, such as childcare or residential costs associated with learning.
Based on the best information available to the Authority at this time the overall anticipated value for the Contracts, as set out in this Contract Notice is £157, 000, 000.00 (one hundred and fifty seven million pounds). Potential Contractors shall note that funding for the Contracts is only guaranteed for the period from the Agreement Date to 31 July 2022 and for any Learners recruited before that date to complete their Learning, provided that happens before 31 July 2023. The Authority anticipates that the combined value of the initial Contract Values of all the successful Potential Contracts will be £73,000,000"
"Lincolnshire County Council","All age Substance Misuse Services",90000000,"Lincolnshire County Council is seeking to procure: an All Age Integrated Substance Misuse Treatment and Recovery Service and a All Age Substance Misuse Family and Affected Others Support Service for Lincolnshire to support adults, children and young persons and their families and affected others including children and young persons who have experienced substance misuse.\r
\r
The new Substance Misuse services are influenced by the key findings from the demand review, market engagement, stakeholder feedback and Lincolnshire Drugs Strategy 2021-25 which has a key focus on reducing drug related deaths, reducing drug-related offending and reducing the prevalence of drug use within our communities.\r
The Council is publishing this opportunity for the market to bid for two separate LOTS:\r
LOT 1: All Age Integrated Substance Misuse Treatment and Recovery Service.\r
LOT 2: All Age Substance Misuse Family and Affected Others Support Service"
